gene_id	gene_name	CONTROL1_REP1	CONTROL1_REP2	TREATMENT1_REP1	TREATMENT1_REP2	TREATMENT2_REP1	TREATMENT2_REP2
AT1G01010	NAC001	33	118	25	68	65	73
AT1G01020	ARV1	125	351	73	384	160	151
AT1G01030	NGA3	19	69	3	17	27	33
AT1G01040	DCL1	351	1519	411	1818	705	708
AT1G01046	MIR838A	6	5	3	11	6	10
AT1G01050	PPA1	441	1862	728	2843	816	843
AT1G01060	LHY	20	95.999	126	523	46	42
AT1G01070	AT1G01070	70	297	13	64	110	145
AT1G01073	AT1G01073	0	0	0	0	0	0
AT1G01080	AT1G01080	813	3396	274	1155	1268	1249
AT1G01090	PDH-E1 ALPHA	1018	4641	1980	8450	2166	2288
AT1G01100	RPP1A	1674.425	4692	3918	17828.325	2594	3108.547
AT1G01110	IQD18	25	71	7	27	52	50
AT1G01115	AT1G01115	0	0	0	0	0	0
AT1G01120	KCS1	444	2589	14	41	625	636
AT1G01130	AT1G01130	7	20	2	5	13	9
AT1G01140	CIPK9	646	2417	910	4163.999	813	861
AT1G01150	AT1G01150	0	0	0	0	1	2
AT1G01160	GIF2	187.989	633.987	447	1999.992	271.997	288
AT1G01170	AT1G01170	946.012	2036.013	489	2598.008	733.002	765
AT1G01180	AT1G01180	109	433	22	87	117	100
AT1G01183	MIR165A	0	0	0	0	0	0
AT1G01190	CYP78A8	25	283	41	149	65	73
AT1G01200	RABA3	17	32	0	1	18	13
AT1G01210	AT1G01210	127	259.734	250	1108.965	101	111
AT1G01220	FKGP	266	1166	76	371	507	526
AT1G01225	AT1G01225	16	62	10	47	35	27
AT1G01230	AT1G01230	216	768	48	238	292	315
AT1G01240	AT1G01240	416	1135.999	224	978	456	451
AT1G01250	ERF023	6	44	0	10	8	14
AT1G01260	BHLH13	118	365	35	156	189	218
AT1G01270	AT1G01270	0	0	0	0	0	0
AT1G01280	CYP703A2	1	0	1	23	0	0
AT1G01290	CNX3	134	305	44	173	168	164
AT1G01300	AT1G01300	340	1561	268	1262	762	791
AT1G01305	AT1G01305	0	0	0	0	0	0
AT1G01310	AT1G01310	0	1	6	8	0	0
AT1G01320	AT1G01320	1869	12590	2218	8895	5414	5788
AT1G01340	CNGC10	19	124	68	287	57	48
AT1G01350	AT1G01350	211.386	530.301	332.714	1493.288	279.607	281.328
AT1G01355	AT1G01355	1	3	2	4	1	2
AT1G01360	PYL9	167	316	90	435	136	145
AT1G01370	HTR12	31	70	7	14	63	67
AT1G01380	ETC1	2	15	2	9	9	12
AT1G01390	UGT72B2	29	234	5	31	82	72
AT1G01400	AT1G01400	0	0	0	1	0	0
AT1G01410	APUM22	0	0	0	0	0	0
AT1G01420	UGT72B3	44	201	2	21	47	47
AT1G01430	TBL25	387	1870	110	415	705	716
AT1G01440	AT1G01440	120	489	43	204	225	278
AT1G01448	AT1G01448	69.826	373.03	106.907	382.66	179.975	156.725
AT1G01450	AT1G01450	7.174	36.97	23.094	83.34	11.026	17.275
AT1G01453	AT1G01453	0	0	0	0	0	0
AT1G01460	PIP5K10	0	0	0	0	0	0
AT1G01470	LEA14	718	2936	437	1842	837	840
AT1G01471	AT1G01471	0	0	0	1	0	0
AT1G01480	ACS2	1	3	2	2	4	7
AT1G01490	AT1G01490	445	1379	246	1163	529	615
AT1G01500	AT1G01500	176	687	62	334	281	303
AT1G01510	AN	244	838	476	2006	486	517
AT1G01520	RVE3	1	4	5	19	2	2
AT1G01530	AGL28	0	2	0	0	1	0
AT1G01540	AT1G01540	473	2408	282	1275	918	971
AT1G01550	BPS1	1040	3854	357	1280	1632	1609
AT1G01560	MPK11	28	125	2	15	44	59
AT1G01570	AT1G01570	7	20	5	14	16	14
AT1G01580	FRO2	5	27	3	27	18	14
AT1G01590	FRO1	4	10	1	6	5	2
AT1G01600	CYP86A4	9	16	74	310	52	87
AT1G01610	GPAT4	289	1383	798	3484	520	549
AT1G01620	PIP1-3	1320	4535	1999	8608	2778	2842
AT1G01630	AT1G01630	480	1615	230	916	464	549
AT1G01640	AT1G01640	20	83	9	47	35	39
AT1G01650	SPPL4	162	626	186	787	308	335
AT1G01660	PUB55	16	34	1	13	16	21
AT1G01670	PUB56	29	92	0	16	25	45
AT1G01680	PUB54	5	23	2	5	12	10
AT1G01690	ATPRD3	44	92	4	11	87	102
AT1G01695	AT1G01695	3	7	0	2	7	5
AT1G01700	ROPGEF2	9	39	0	14	17	17
AT1G01710	AT1G01710	255	1018	151	672	427	445
AT1G01720	NAC002	78	248	108	420	159	179
AT1G01725	AT1G01725	44	146	39	195	50	43
AT1G01730	AT1G01730	116	431	97	470	171	220
AT1G01740	AT1G01740	58	185	11	49	105	131
AT1G01750	ADF10	2	11	3	3	10	6
AT1G01760	AT1G01760	15	76	5	16	40	39
AT1G01770	AT1G01770	186	848	109	429	348	396
AT1G01780	PLIM2B	58	326	36	129	126	123
AT1G01790	KEA1	948	5744	374	1353	2870	2834
AT1G01800	AT1G01800	538	1770	694	3213	779	726
AT1G01810	AT1G01810	2	4	3	16	1	6
AT1G01820	PEX11C	375	1591	318	1312	602	677
AT1G01830	AT1G01830	152	682	197	913	243	264
AT1G01840	AT1G01840	18.073	49.837	4	26.611	22.61	16.232
AT1G01860	PFC1	126.927	540.163	46	269.389	226.39	242.768
AT1G01870	AT1G01870	0	0	0	0	0	0
AT1G01880	GEN1	13	29	14	46	27	21
AT1G01890	AT1G01890	0	0	0	0	0	0
AT1G01900	SBTI1.1	36	182	141	609	117	124
AT1G01910	AT1G01910	354	1435	321	1367	708	660
AT1G01920	AT1G01920	106	301	130	604	201	185
AT1G01930	AT1G01930	90	407	187	842	181	206
AT1G01940	CYP18-1	62	206	4141	18132	119	168
AT1G01950	ARK2	120	443	110	468	263	315
AT1G01960	BIG3	564	2793	1123	4800	1392	1424
AT1G01970	AT1G01970	356	1232	358	1528	489	537
AT1G01980	AT1G01980	1	0	0	6	1	0
AT1G01990	AT1G01990	131	603	683	2941	226	248
AT1G02000	GAE2	59	272	67	234	109	104
AT1G02010	SEC1A	78	285	12	58	127	111
AT1G02020	AT1G02020	94	563	221	895	225	220
AT1G02030	ZAT1	0	2	1	3	1	0
AT1G02040	AT1G02040	0	0	0	0	0	0
AT1G02050	PKSA	33	129	57	255	52	66
AT1G02060	AT1G02060	36	115	69	299	79	78
AT1G02065	SPL8	5	1	179	789	32	34
AT1G02070	AT1G02070	4	0	1	9	2	7
AT1G02074	AT1G02074	0	0	0	0	0	0
AT1G02080	AT1G02080	589	3346	918	3817	1675	1601
AT1G02090	CSN7	269	759	1167	4986	355.999	405
AT1G02100	AT1G02100	226	806	536	2288.001	312	345
AT1G02110	AT1G02110	107	490	412	1767	320	296
AT1G02120	VAD1	481	2180	421	1747	796	828
AT1G02130	RABD2A	276	941	282	1163	393	440
AT1G02136	AT1G02136	0	0	0	0	0	0
AT1G02140	MEE63	762	2475	2792	11675	1147	1106
AT1G02145	ALG12	164	605	52	287	290	267
AT1G02150	AT1G02150	870	4274	1126	4899	1870	1910
AT1G02160	AT1G02160	219	572	138	568	205	234
AT1G02170	AMC1	162	819	129	551	304	352
AT1G02180	AT1G02180	56	144	45	193	76	68
AT1G02190	AT1G02190	1	7	18	79	7	8
AT1G02205	CER1	232	282	266	1094	582	651
AT1G02210	AT1G02210	0	0	0	0	0	0
AT1G02220	NAC003	41	182	30	115	73	75
AT1G02228	AT1G02228	0	0	0	0	0	0
AT1G02230	NAC004	5	19	23	105	4	6
AT1G02250	NAC005	1	0	0	11	1	0
AT1G02260	AT1G02260	145	645	28	61	239	228
AT1G02270	AT1G02270	293	1131	244	1243	403	413
AT1G02280	TOC33	995	2326	1646	6953	1326	1351
AT1G02290	AT1G02290	76	243	376	1651	135	140
AT1G02300	AT1G02300	508	1393.995	97	413	435	436.002
AT1G02305	AT1G02305	690	2891.005	885	3820	1139	1134.998
AT1G02310	MAN1	0	6	0	0	1	2
AT1G02320	AT1G02320	0	0	0	0	0	0
AT1G02330	AT1G02330	122	459	119	588	259	268
AT1G02335	GL22	18	129	20	109	39	39
AT1G02340	HFR1	8	15	9	63	6	12
AT1G02350	AT1G02350	10	43	4	25	13	12
AT1G02360	AT1G02360	29	73	2	17	23	28
AT1G02370	AT1G02370	40	105	31	110	90	78
AT1G02380	AT1G02380	27	78	9	35	21	36
AT1G02390	GPAT2	11	40	9	47	7	12
AT1G02391	AT1G02391	0	0	0	0	0	0
AT1G02400	GA2OX6	20	27	5	12	30	14
AT1G02405	AT1G02405	1	20	1	20	1	2
AT1G02410	COX11	205	622	164	661	248	296
AT1G02420	AT1G02420	28	96	16	57	45	60
AT1G02430	ATARFD1B	4	24	4	23	11	11
AT1G02440	ATARFD1A	2	3	1	1	0	2
AT1G02450	NIMIN-1	23	44	13	34	14	14
AT1G02460	AT1G02460	10	67	6	25	41	28
AT1G02470	AT1G02470	10	28	3	26	13	12
AT1G02475	AT1G02475	574	2288	282	1187	709	718
AT1G02480	AT1G02480	0	0	0	0	0	0
AT1G02490	AT1G02490	0	0	0	0	0	1
AT1G02500	SAM1	1268	5926	3023	13678	2802	3166
AT1G02510	TPK4	0	0	10	25	0	0
AT1G02520	ABCB11	0	12	8	38	7	7
AT1G02530	ABCB12	0	4	5	20	4	8
AT1G02540	AT1G02540	0	0	0	0	0	0
AT1G02550	AT1G02550	0	0	0	0	0	0
AT1G02560	CLPP5	2763	11689	2902	12340	4494	4814
AT1G02570	AT1G02570	0	0	0	1	0	0
AT1G02575	AT1G02575	0	0	0	0	0	0
AT1G02580	MEA	0	1	0	1	0	1
AT1G02590	AT1G02590	0	0	0	0	0	0
AT1G02600	AT1G02600	0	0	0	0	0	0
AT1G02610	AT1G02610	119	167	0	2	127	140
AT1G02620	AT1G02620	2	6	1	0	6	4
AT1G02630	ETN8	7	4	7	6	11	8
AT1G02640	BXL2	71	222	242	1177	311	319
AT1G02650	AT1G02650	9	35	3	9	22	14
AT1G02660	AT1G02660	140	476	33	131	266	266
AT1G02670	AT1G02670	9	30	1	8	18	18
AT1G02680	TAF13	96	287	86	361	133	137
AT1G02681	AT1G02681	0	0	1	8	0	0
AT1G02690	IMPA6	73	128	109	385	255	241
AT1G02700	AT1G02700	2	44	165	747	9	13
AT1G02710	AT1G02710	9	78	5	33	52	24
AT1G02720	GATL5	59	269	58	310	162	168
AT1G02730	CSLD5	186	487	14	57	888	1002
AT1G02740	MRG2	91	243	50	176	86	122
AT1G02750	DI19-2	186	272	85	285	130	137
AT1G02770	AT1G02770	7	18	5	30	1	5
AT1G02780	RPL19A	4937	11806	9160	40138	7145	8107
AT1G02790	PGA3	0	0	2	2	2	2
AT1G02800	CEL2	12	6	5	24	49	62
AT1G02810	PME7	9	4	4	0	7	3
AT1G02813	AT1G02813	0	0	0	5	0	0
AT1G02816	AT1G02816	72	226	117	508	85	98
AT1G02820	AT1G02820	55	286	3	4	97	105
AT1G02830	RPL22A	0	0	0	1	0	0
AT1G02840	SR34	619	1954	1521	6643.001	1014	1092
AT1G02850	BGLU11	34	155	18	66	108	103
AT1G02860	BAH1	95	250	102	526	115	129
AT1G02870	AT1G02870	139	315	257	1082	217	261
AT1G02880	TPK1	118.904	354	76.998	272.531	138.575	151.001
AT1G02890	AT1G02890	453	2189	1322	5446	994	1055
AT1G02900	RALF1	8	12	8	19	5	5
AT1G02910	LPA1	468	2030	572	2422	756	801
AT1G02920	GSTF7	502.82	2085.12	819.07	3643.559	472.45	535.621
AT1G02930	GSTF6	839.18	3134.88	468.93	2042.441	883.55	964.379
AT1G02940	GSTF5	3	2	5	17	4	4
AT1G02950	GSTF4	41	133.745	36	120	67	61
AT1G02952	AT1G02952	0	1.255	0	0	0	0
AT1G02960	AT1G02960	277	589	42	181	238	278
AT1G02965	AT1G02965	0	0	0	1	0	0
AT1G02970	WEE1	35	71	82	345	66	70
AT1G02980	CUL2	0	1	135	603	0	2
AT1G02990	AT1G02990	112	614	122	533	294	274
AT1G03000	PEX6	169	885	197	694	399	386
AT1G03010	AT1G03010	9	24	5	10	18	14
AT1G03020	GRXS1	18	31	3	19	15	7
AT1G03022	AT1G03022	0	0	0	0	0	0
AT1G03030	AT1G03030	108	413	58	260	182	183
AT1G03040	BHLH7	197	788	457	2044	367	391
AT1G03050	AT1G03050	0	1	0	0	2	0
AT1G03055	D27	35	115	6	18	39	48
AT1G03060	SPI	338	1790	249	1050	962	893
AT1G03070	AT1G03070	2	8	2158	8740	8	9
AT1G03080	NET1D	388	1961	298	1288	862	967
AT1G03090	MCCA	204	965.105	78	303	505.503	527.825
AT1G03100	AT1G03100	26	109.895	6	20	45.497	46.175
AT1G03103	AT1G03103	0	0	0	0	0	0
AT1G03106	AT1G03106	0	0	0	0	0	0
AT1G03110	TRM82	122	252	10	67	199	208
AT1G03120	ATRAB28	1	3	2	15	5	1
AT1G03130	PSAD2	13683	56716	5590	23986	19096	19522
AT1G03140	AT1G03140	383	1219	1578	6594	622	646
AT1G03150	AT1G03150	136	418	108	559	172	194
AT1G03160	FZL	547	2771	313	1122	1074	1134
AT1G03170	FAF2	2	4	1	9	2	4
AT1G03180	AT1G03180	13	61	112	569	38	46
AT1G03190	UVH6	62	280	118	574	135	123
AT1G03200	AT1G03200	10	53.027	7	31	16	27
AT1G03210	AT1G03210	133	391	47	227	150	149
AT1G03220	AT1G03220	266	1030.642	328.985	1272.491	650	659.665
AT1G03230	AT1G03230	122	505.358	262.015	1211.509	322	325.335
AT1G03240	AT1G03240	0	0.973	0	0	1	0
AT1G03250	AT1G03250	200	754	55	217	276	315
AT1G03260	AT1G03260	73	250	63	305	112	109
AT1G03270	CBSDUF4	25	103	10	45	57	61
