gene_id	gene_name	CONTROL1_REP1	CONTROL1_REP2	TREATMENT1_REP1	TREATMENT1_REP2	TREATMENT2_REP1	TREATMENT2_REP2
AT1G01010	NAC001	2.366391	2.350396	1.292535	0.82019	3.333547	3.505773
AT1G01020	ARV1	20.274353	19.140198	10.430319	12.816699	22.129078	19.786856
AT1G01030	NGA3	1.169461	1.187794	0.133947	0.177286	1.197029	1.327878
AT1G01040	DCL1	5.855652	6.923986	5.146269	5.017047	8.623891	8.052266
AT1G01046	MIR838A	68.098382	15.208098	23.906625	19.742721	48.373078	75.025416
AT1G01050	PPA1	72.813267	86.91745	85.580029	78.632486	95.711376	93.342286
AT1G01060	LHY	0.854629	1.149124	4.012909	3.809193	1.424747	1.223449
AT1G01070	AT1G01070	7.905702	9.530538	1.102752	1.258316	9.166156	11.213652
AT1G01073	AT1G01073	0	0	0	0	0	0
AT1G01080	AT1G01080	86.81374	100.026812	21.231576	20.050061	96.963522	88.738858
AT1G01090	PDH-E1 ALPHA	79.38102	95.658916	109.409397	102.20978	120.710266	119.045597
AT1G01100	RPP1A	407.960924	315.420556	656.091143	705.375403	430.275619	476.934057
AT1G01110	IQD18	1.41167	1.159529	0.394148	0.248757	2.526537	2.030555
AT1G01115	AT1G01115	0	0	0	0	0	0
AT1G01120	KCS1	24.172504	36.657597	0.526798	0.337013	23.539132	22.122123
AT1G01130	AT1G01130	5.05153	3.77487	1.036704	0.579177	6.852013	4.46675
AT1G01140	CIPK9	43.06602	43.359339	43.068863	44.081372	38.548771	37.937148
AT1G01150	AT1G01150	0	0	0	0	0.084908	0.156976
AT1G01160	GIF2	21.715623	18.799453	37.975078	37.246824	23.075482	22.428755
AT1G01170	AT1G01170	384.991131	222.051824	139.72522	163.094393	209.837413	201.928854
AT1G01180	AT1G01180	9.703678	9.898842	1.287626	1.119186	6.831046	5.317779
AT1G01183	MIR165A	0	0	0	0	0	0
AT1G01190	CYP78A8	1.63704	4.827367	1.901074	1.521684	3.016269	3.105992
AT1G01200	RABA3	1.834741	0.896799	0	0.01613	1.307774	0.865003
AT1G01210	AT1G01210	38.756476	22.084578	55.919057	56.540208	22.332464	23.197391
AT1G01220	FKGP	8.659314	10.235273	1.829497	1.980194	12.099948	11.67623
AT1G01225	AT1G01225	2.188619	2.334619	0.967602	1.036806	3.357785	2.411771
AT1G01230	AT1G01230	41.240817	41.504622	6.604193	7.672197	39.61123	40.423966
AT1G01240	AT1G01240	35.25473	28.094846	13.358008	13.964507	28.120563	25.671578
AT1G01250	ERF023	0.864053	1.685473	0	0.225308	0.79922	1.291725
AT1G01260	BHLH13	5.196043	4.444517	1.137845	1.154647	6.048541	6.551656
AT1G01270	AT1G01270	0	0	0	0	0	0
AT1G01280	CYP703A2	0.061582	0	0.04372	0.219485	0	0
AT1G01290	CNX3	18.053775	11.719496	4.45309	4.097708	16.569753	15.162295
AT1G01300	AT1G01300	17.354749	20.049533	9.070438	9.229508	25.860284	24.202089
AT1G01305	AT1G01305	0	0	0	0	0	0
AT1G01310	AT1G01310	0	0.027756	0.447946	0.132122	0	0
AT1G01320	AT1G01320	31.770365	57.0462	27.50143	24.330847	67.050128	65.943623
AT1G01340	CNGC10	0.941495	1.651801	2.53633	2.311395	2.112861	1.601047
AT1G01350	AT1G01350	17.355403	11.950564	19.89766	20.067749	16.74045	15.563112
AT1G01355	AT1G01355	0.248242	0.180071	0.366244	0.148563	0.182908	0.332299
AT1G01360	PYL9	27.378899	14.651206	10.741703	12.29218	16.026297	16.16175
AT1G01370	HTR12	5.167255	2.997421	0.836867	0.381684	7.41074	7.439068
AT1G01380	ETC1	0.813925	1.635931	0.571473	0.579196	2.601739	3.228185
AT1G01390	UGT72B2	1.818212	3.865941	0.217552	0.29917	3.595254	2.892049
AT1G01400	AT1G01400	0	0	0	0.02122	0	0
AT1G01410	APUM22	0	0	0	0	0	0
AT1G01420	UGT72B3	3.205861	3.866269	0.100064	0.232949	2.369723	2.188813
AT1G01430	TBL25	26.133149	33.912466	5.214331	4.433923	33.400761	30.987332
AT1G01440	AT1G01440	5.931603	6.381798	1.536882	1.608766	8.103687	9.247956
AT1G01448	AT1G01448	5.53437	6.541636	6.602656	4.842528	8.715506	7.876026
AT1G01450	AT1G01450	0.599433	0.848828	1.414515	1.156936	0.67858	0.985668
AT1G01453	AT1G01453	0	0	0	0	0	0
AT1G01460	PIP5K10	0	0	0	0	0	0
AT1G01470	LEA14	136.010481	155.883486	60.12681	60.243891	114.285676	104.104614
AT1G01471	AT1G01471	0	0	0	1.468467	0	0
AT1G01480	ACS2	0.065795	0.052925	0.09229	0.020597	0.156579	0.300449
AT1G01490	AT1G01490	55.54302	46.859634	23.083803	24.489348	49.966971	53.581184
AT1G01500	AT1G01500	14.877853	15.318102	3.671015	4.391457	16.684457	16.620839
AT1G01510	AN	12.805575	11.5495	17.679309	16.318632	18.050529	17.879958
AT1G01520	RVE3	0.179234	0.20171	0.674254	0.595448	0.261193	0.242786
AT1G01530	AGL28	0	0.101246	0	0	0.128424	0
AT1G01540	AT1G01540	24.888592	32.942535	10.388655	10.264191	33.98895	33.069186
AT1G01550	BPS1	97.684715	98.143293	24.616757	19.544227	110.586239	100.595477
AT1G01560	MPK11	2.601043	3.169209	0.148238	0.237656	3.077362	3.678004
AT1G01570	AT1G01570	0.489777	0.356866	0.240143	0.146956	0.777542	0.620543
AT1G01580	FRO2	0.237986	0.350061	0.100404	0.203836	0.599402	0.430625
AT1G01590	FRO1	0.23103	0.154385	0.0418	0.055298	0.207842	0.076477
AT1G01600	CYP86A4	0.416906	0.187841	2.420145	2.156022	1.701842	2.577254
AT1G01610	GPAT4	17.705609	21.662191	33.901748	32.027509	22.177326	21.555486
AT1G01620	PIP1-3	123.862863	113.948509	134.382367	129.73155	185.284446	175.233978
AT1G01630	AT1G01630	51.077395	45.216211	18.139737	15.556285	36.860756	39.977565
AT1G01640	AT1G01640	3.113483	3.406694	1.044595	1.146258	3.986168	4.079751
AT1G01650	SPPL4	10.047225	10.4441	8.372494	7.837413	13.776039	13.954556
